product_id,product_name,category,price,stock_quantity,is_available,added_on
101,Wireless Mouse,Electronics,1611.53,79,False,2025-04-29
102,Bluetooth Speaker,Electronics,135.14,23,True,2025-06-04
103,Laptop Stand,Accessories,1020.92,161,False,2025-07-09
104,USB-C Hub,Accessories,408.39,164,False,2025-05-12
105,Notebook,Stationery,1987.74,116,True,2025-07-01
106,Pen Set,Stationery,1048.1,150,True,2025-06-29
107,Coffee Mug,Home & Kitchen,1063.53,76,False,2025-04-15
108,LED Desk Lamp,Home & Kitchen,239.1,93,False,2025-05-23
109,Yoga Mat,Fitness,1514.86,162,True,2025-05-05
110,Water Bottle,Fitness,420.99,191,True,2025-05-09
111,Smartphone,Electronics,361.2,200,False,2025-04-18
112,Headphones,Electronics,154.84,178,True,2025-05-18
113,Gaming Keyboard,Accessories,103.24,100,False,2025-04-19
114,Monitor,Electronics,305.2,123,False,2025-05-20
115,HDMI Cable,Accessories,552.97,105,True,2025-06-17
116,Power Bank,Electronics,831.88,13,False,2025-07-01
117,Backpack,Accessories,1517.11,64,True,2025-05-08
118,Webcam,Electronics,1428.3,76,False,2025-06-11
119,Desk Organizer,Home & Kitchen,404.69,136,False,2025-06-14
120,Fitness Band,Fitness,1451.69,171,False,2025-05-06
